date,type,count,amount
2014/1/1,衣,2211.619,6820577126
2014/2/1,衣,1751.262,5096521278
2014/3/1,衣,1826.192,5284975079
2014/4/1,衣,1794.872,5074049856
2014/5/1,衣,1865.532,5228896196
2014/6/1,衣,2007.965,5380890207
2014/7/1,衣,2039.763,5284127630
2014/8/1,衣,1892.954,4825325301
2014/9/1,衣,1881.904,5193825178
2014/10/1,衣,1956.783,5684029719
2014/11/1,衣,1787.353,5572118600
2014/12/1,衣,2531.238,7745776811
2015/1/1,衣,2093.253,6429915999
2015/2/1,衣,2218.025,6567035995
2015/3/1,衣,2027.509,5826801222
2015/4/1,衣,1967.285,5503785967
2015/5/1,衣,2011.992,5562396237
2015/6/1,衣,2311.631,5959320238
2015/7/1,衣,2163.26,5450509479
2015/8/1,衣,2050.478,5097076891
2015/9/1,衣,1918.369,5264515387
2015/10/1,衣,2103.103,5942528598
2015/11/1,衣,2124.873,6174828949
2015/12/1,衣,2594.256,7374181223
2016/1/1,衣,2437.909,7007824152
2016/2/1,衣,2151.889,6141505645
2016/3/1,衣,1999.067,5641355154
2016/4/1,衣,2160.494,5742958902
2016/5/1,衣,2458.437,6384903651
2016/6/1,衣,2279.524,5615477758
2016/7/1,衣,2167.041,5204832892
2016/8/1,衣,2349.602,5597170441
2016/9/1,衣,1833.126,4833611317
2016/10/1,衣,2052.604,5530169333
2016/11/1,衣,2087.932,5996840096
2014/1/1,食,9108.455,16062374055
2014/2/1,食,8469.111,13425470479
2014/3/1,食,9060.749,12784568098
2014/4/1,食,8555.295,11979164216
2014/5/1,食,9129.693,13601347601
2014/6/1,食,9588.201,13617232884
2014/7/1,食,10482.244,14535070217
2014/8/1,食,10360.089,15426249928
2014/9/1,食,10183.452,14450059714
2014/10/1,食,9529.242,13263199113
2014/11/1,食,8845.517,12407625134
2014/12/1,食,10577.368,15525989579
2015/1/1,食,9785.693,15100806229
2015/2/1,食,9720.301,16940614638
2015/3/1,食,9615.548,14083216753
2015/4/1,食,9246.484,12975827548
2015/5/1,食,9740.888,14205175060
2015/6/1,食,10594.183,14640936361
2015/7/1,食,10585.122,14343298914
2015/8/1,食,11930.49,17129280848
2015/9/1,食,10369.999,14816241220
2015/10/1,食,10075.119,13866719787
2015/11/1,食,10301.917,14572249077
2015/12/1,食,10472.477,15209958067
2016/1/1,食,10581.269,17088499402
2016/2/1,食,9922.216,16263346444
2016/3/1,食,10757.264,15083430259
2016/4/1,食,9866.362,13468113887
2016/5/1,食,11328.252,16084261135
2016/6/1,食,10744.966,14524303712
2016/7/1,食,11263.873,14909411935
2016/8/1,食,12842.128,18461259817
2016/9/1,食,10822.064,14861328153
2016/10/1,食,11298.756,15126812815
2016/11/1,食,10472.052,14161643102
2014/1/1,住,2170.165,11753958399
2014/2/1,住,1957.717,9350855774
2014/3/1,住,1945.199,9862311041
2014/4/1,住,1848.466,10217104623
2014/5/1,住,1924.241,10380725950
2014/6/1,住,2068.582,10870361669
2014/7/1,住,2249.902,12106263808
2014/8/1,住,2106.446,10743122291
2014/9/1,住,2118.619,10795457493
2014/10/1,住,2057.854,10595429083
2014/11/1,住,2028.201,11285696596
2014/12/1,住,2357.619,12360139632
2015/1/1,住,2225.752,11706184537
2015/2/1,住,2226.958,11434889951
2015/3/1,住,2185.936,10730940060
2015/4/1,住,1996.013,10670352032
2015/5/1,住,1951.314,10492126657
2015/6/1,住,2203.654,11559979479
2015/7/1,住,2252.392,11725346415
